'Chip_name'	'Experiment_name'	'Experiment_description'
'uvrA_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'uvrA_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'uvrA_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'yebF_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'yebF_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'yebF_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'luc_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'luc_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'luc_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'zipA_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'zipA_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'zipA_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'luc_U_N0000_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'luc_U_N0000_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'luc_U_N0000_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'b2618_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'b2618_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'b2618_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'bcp_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'bcp_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'bcp_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'cpxR_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'cpxR_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'cpxR_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'crcB_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'crcB_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'crcB_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'crp_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'crp_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'crp_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'cspF_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'cspF_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'cspF_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dam_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dam_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dam_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dnaA_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dnaA_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dnaA_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dnaN_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dnaN_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dnaN_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dnaT_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dnaT_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'dnaT_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'emrR_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'emrR_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'era_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'era_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'era_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'fis_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'fis_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'fis_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'fklB_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'fklB_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'fklB_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'folA_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'folA_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'folA_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'galF_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'galF_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'galF_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'gcvR_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'gcvR_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'gcvR_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'gyrA_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'gyrA_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'gyrA_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'gyrI_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'gyrI_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'gyrI_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'hlpA_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'hlpA_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'hlpA_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'holD_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'holD_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'holD_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'hscA_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'hscA_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'hscA_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'IHF_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'IHF_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'ldrA_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'ldrA_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'ldrA_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'mcrB_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'mcrB_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'mcrB_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'mcrC_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'mcrC_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'mcrC_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'menB_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'menB_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'menB_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'menC_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'menC_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'menC_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'minD_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'minD_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'minD_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'minE_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'minE_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'minE_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'murI_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'murI_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'murI_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'yoeB_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'yoeB_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'yoeB_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'nrdA_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'nrdA_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'nrdA_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'nrdB_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'nrdB_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'nupC_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'nupC_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'nupC_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'pyrC_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'pyrC_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'pyrC_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'rimI_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'rimI_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'rimI_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'rstB_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'rstB_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'rstB_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'ruvC_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'ruvC_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'ruvC_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'sbcB_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'sbcB_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'sbcB_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'uspA_U_N0075_r1'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'uspA_U_N0075_r2'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'uspA_U_N0075_r3'	'upregulation_high_norfloxacin'	'overexpression of 45 different genes in LB with 0.0075ng/ml norfloxacin'
'WT_N0000_r1'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'WT_N0000_r2'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'WT_N0025_r1'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'WT_N0025_r2'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'WT_N0050_r1'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'WT_N0050_r2'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'WT_N0075_r1'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'WT_N0075_r2'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'recA_D_N0000_r1'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'recA_D_N0000_r2'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'recA_D_N0050_r1'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'recA_D_N0050_r2'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'recA_D_N0100_r1'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'recA_D_N0100_r2'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'WT_D_N0100_r1'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'WT_D_N0100_r2'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
'luc2_U_N0025_r1'	'misc_norfloxacin'	'various doses of norfloxacin, some in a recA knockout, some in a strain with a luciferase upregulation'
